id,famille origine,id-base,planet,people,prosperity,recommandation,criteres,justifications,etape cycle de vie,test 1.1.1,test 1.1.2,test 1.1.3,correspondance,lien,type,difficulté de mise en oeuvre,objectif odd couverts par la recommandation,incontournables,tags opérationnel,acteurs,indicateurs,x indicateurs,y indicateurs,priorité,récurrence,use case,exemple,limites,automatisable,automatisation,automatisation level,automatisation informations
0,STRATEGIE,STR-1.04,A,B,A,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Le besoin métier est-il exprimé ?,Les incertitudes poussent à extrapoler les besoins souvent au delà des attentes réelles ce qui est nuisible pour les impacts environnementaux,Conception,Les besoins métiers sont-ils évalués de manière impartiale par rapport à des usages ?,,,,,RECO,*,,INCONTOURNABLE,#VOL ; #USE ; #VALUE ; #METH ; #FIN,ProductOwner ;,(X / Y ) * 100,Expression rédigée et validée = 100 ; Expression formalisée = 75 ; Tacite = 30 ; Non = 0,100,High,OnUpdate,"La documentation de collecte et expression des besoins est formalisée, validée et partagée",,,,,,
1,STRATEGIE,STR-1.16,A,A,A,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Le besoin couvert par le service numérique s'inscrit-il dans l'un des objectifs de développement durable?,"Le questionnement de l'utilité du service numérique par rapport à l'un ou plusieurs des 17 ODD est capital, afin d'éviter la production de services numériques qui ne soient pas porteurs de valeurs.",Conception,Le service répond-t-il à au moins l'un des Objectifs de Développement Durable (ODD) ? ,,,,,RECO,*,,INCONTOURNABLE,#USE ; #COM ; #VALUE ; #METH ; #GOV ;,ProjectMngr ; ProductOwner ; RSE/NR ;,(X / Y ) * 100,Au moins 1 ODD couvert = 100 ; 0 ODD = 0,100,High,Once,Fiche de cadrage projet,,,Y,#INSTRUMENTATION,***,Tags ODD dans le document de cardage
2,STRATEGIE,STR-2.04,A,A,B,"Prévoir, préparer et valider les disponibilités des ressources humaines du Numérique Responsable","Les parties prenantes internes et externes sont-elles sensibilisées, voire formées/certifiées au NR ?","Chaque partie prenante à besoin d'une information efficace sur son domaine d'expertise et d'action, seul un plan de formation adapté peut apporter cette efficacité en amont des projets",N/A,Quel budget formation est alloué par type de profil ?,,,,,RECO,*,,INCONTOURNABLE,#COM ; #METH,ProjectMngr ; Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Sensibilisations NR,Membre équipe,High,Periodic,Le plan de formation intègre les diffusions de sensibilisations et formations aux aspects NR. La communication externe propage les enjeux environnementaux du numérique.,,,,,,
3,STRATEGIE,STR-3.08,A,A,B,Déterminer et planifier la capacité de suivre et capitaliser sur les composantes Numérique Responsable des projets,La conformité numérique responsable est-elle exposée ?,"Un service numérique concu en respectant les recommandations du numérique responsable doit exposer les acquis et faiblesses identfiés. Dans une démarche similaire à celle déployée pour l'accessibilité avec la ""déclaration d'accessibilité"".",Conception,Une déclaration de conception responsable est-elle disponible pour le service numérique ?,,,,,RECO,*,,INCONTOURNABLE,#USE ; #COM ; #VALUE ; #METH ; #GOV ;,ProjectMngr ; ProductOwner ; RSE/NR ;,(X / Y ) * 100,Document validé et exposé = 100 ; Partiel = 50 ; Prévu = 25 ; Non = 0,100,High,Once,"Document ""déclaration de conception responsable""",,,,,,
4,SPECIFICATIONS,SPC-1.01,A,A,B,Organiser les ressources humaines projets pour permettre la prise en compte de la démarche NR,Les enjeux NR du projet ont-ils été communiqués à l'équipe dès l'origine ?,La démarche NR est mieux prise en compte lorsqu'elle s'insère par un processus systémique et qu'elle est exposée comme direction à suivre pour tous les acteurs.,N/A,Combien de personnes sensibilisées / formées au NR dans l'équipe projet ?,,,,,RECO,*,,INCONTOURNABLE,#COM ; #METH ; #GOV ; #HR,ProjectMngr ; ProductOwner ; Manager ; RSE/NR ;  ITMngr,(X / Y ) * 100,Enjeux NR communiqués,Membre équipe,High,Once,La fiche projet précise les objectifs et attendus NR,,,,,,
5,SPECIFICATIONS,SPC-1.03,B,A,B,Organiser les ressources humaines projets pour permettre la prise en compte de la démarche NR,Chaque entité de l'équipe Projet dispose-t-elle des compétences NR ?,"Chacune des étapes projet requiert des connaissances spécifiques pour les aspects NR, il est important que toutes les étapes soient couvertes afin que les résultats NR soient cohérents tout au long de la vie du service.",N/A,Combien de personnes sont sensibilisées et formées au NR ?,,,,,RECO,*,,INCONTOURNABLE,#COM ; #METH ; #HR ;,ProjectMngr ; ProductOwner ; Manager ; ITMngr ;,(X / Y ) * 100,Plan de formation NR = 100 ; Mise à dispo de ressources NR = 50 ; Non = 0,100,High,OnUpdate,Plan de formation adapté à chacun des profils,,,,,,
6,SPECIFICATIONS,SPC-3.02,B,B,B,Organiser la méthodologie projet pour permettre d'appliquer une démarche NR,Quelle proportion des fonctionnalités (User Story) ont une composante NR ? ,"Certaines fonctionnalités peuvent être conçues avec des impacts NR très différents. En l'absence de clarification, la solution choisie sera le plus souvent pilotée par la facilité ou l'appétence technique, ce qui s'oppose en général à la performance NR. Le seul moyen de guider les décisions est d'introduire des points d'attention sur les aspects NR dans la majorité des User Stories.",Conception,Une exigence NR est-elle justifiée plutôt qu'un aspect NR dans une exigence plus générale ?,,,,,RECO,*,,INCONTOURNABLE,#USE ; #MAINT ; #METH ;,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Nombre US avec info NR,Nombre US,High,OnUpdate,Le Backlog utilise des Tags/Labels NR pour identifier les user stories avec des éléments NR,,,Y,#INSTRUMENTATION,**,Tag NR dans le backlog
7,SPECIFICATIONS,SPC-5.02,B,C,B,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,Dans le processus d'achat (Appel d'offre) des exigences d'engagement NR sont-elles demandées aux prestataires externes ?,"Un projet est rarement réalisé avec un périmètre couvert à 100% au sein de l'organisation, nombre de ressources externes sont mobilisées au cours du projet. Les spécifications permettent d'identifier ces ressources nécessaires et leur associer des exigences NR pour permettre de sélectionner les prestataires en fonctions des contraintes techniques, de solvabilité économique et de NR.",Acquisition,Les exigences NR des prestataires sont-elles définies ?,,,,,RECO,*,,INCONTOURNABLE,#COM ; #VALUE ; #GOV ; #BUY,Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Exigences NR dans AO,Appel d'offres,High,OnUpdate,Les procédures d'achat contiennent des éléments de sélection liées aux enjeux NR,,,,,,
8,SPECIFICATIONS,SPC-5.07,A,B,A,Préparer le suivi du cycle de vie du projet et des indicateurs de performance / bénéfice NR,"Les données et procédures spécifiées ont-elles toutes une information de fin de vie ?
",Les spécifications font apparaître des collections de données des procédures asynchrones ou des tâches périodiques indispensables au bon fonctionnement du service. Ces éléments sont le plus souvent invisibles et en l'absence de spécifications explicites des processus de retrait ils sont rarement pris en compte dans les fins d'exploitation d'un service. Chacun de ces éléments doit porter sa propre information de fin de vie.,Fin de Vie,La catalogue des procédures et données est-il à jour ?,,,,,RECO,*,,INCONTOURNABLE,#VOL ; #VALUE ;,Dev ; Designer ; ProjectMngr ; ProductOwner,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Medium,OnUpdate,Chaque élément référencé dans le Dossier Technique porte une information de fin de vie,,,Y,#INSTRUMENTATION,***,Tag EnD Of Life dans les US
9,UX/UI,UX/UI-1.01,B,A,B,Intégrer le Numérique Responsable dans les objectifs majeurs du projet,"Dans les méthodes d'idéation, l'ensemble des parties prenantes est-il pris en compte dans toute sa dimension (humaine) ?","Mettre l'Utilisateur au centre de la réflexion est la garantie de couvrir les besoins essentiels de vos cibles et d'avancer dans le bon sens. Par Utilisateurs, nous entendons les usagers finaux du service ou du produit mais également les différentes parties prenantes du projet. Considérer vos utilisateurs avec une dimension humaine et empathique permet d'élargir le prisme de votre réflexion et d'aller au-delà des aspects économiques et technologiques du projet.",Conception,"Une cartographie des parties prenantes a-t-elle été réalisée ? 

Une priorisation des parties prenantes est-elle faite ?  

","Les différentes parties prenantes sont-elles intégrées dans les différents outils : expérience et service Map, cartes UX, shadowing, workshops, etc. ) ?

Une approche Human-Centered Design est-elle utilisée ? ",L'approche User centric est-elle présente ? ,"SL : Stakeholders map template


SL : Human-Centered Design ","SL : https://diytoolkit.org/media/People-and-Connections-map-Size-A4.pdf


SL : https://www.designkit.org/methods

https://www.ideo.com/post/design-kit",RECO,***,,INCONTOURNABLE,#COM ;  #METH ;,Designer ; ProductOwner ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,OnUpdate,Le panel de profils d'utilisateurs couvre l'ensemble des aspects humains que le NR doit adresser pour éviter la fracture numérique,,,,,,
