,,,,,Etapes Cycle de Vie,N/A,Acquisition,Conception,Réalisation,Déploiement,Administration,Utilisation,Maintenance,Fin de Vie,Revalorisation,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Famille Origine
",ID,Planet,People,prosperity,"RECOMMANDATION = 
Phrase verbe  à l’infinitif, 
1 ou 2 phrase grand max","CRITERES = 
Plutôt Interrogatif
Une recommandation pour N critères","JUSTIFICATIONS
Quels sont les arguments factuels qui jusfient que cet éléments soient présent",Etape Cycle de Vie,"TEST 1.1.1
test lié au critère, forme interrogative",TEST 1.1.2,TEST...,"CORRESPONDANCE 
(Référence à une source fiable existante)",Lien  (URL) de la correspondance,"Type 

formelle
(RECO)

ou

Conseil / Guide 
(CONSEIL)","Difficulté de mise en oeuvre

Sans Objet (N/A)
Nombre d'étoiles 1 à 3
De simple = *
A complexe = ***",Objectif(s) ODD couverts par la recommandation, incontournables,"Tags Opérationnel
#PERF ; #VOL ; #SEC ; #USE ; #MAINT ; #COM ; #VALUE ; #DEBT ; #METH ; #GOV ; #BUY ; #HR ; #FIN ; #LEG; #OBSO","Acteurs
Dev ; Designer ; ProjectMngr ; ProductOwner ; Manager ; RSE/NR ; HR ; ITMngr ; Staff ",Indicateurs,X Indicateurs,Y Indicateurs,Priorité,Récurrence,Use Case,Exemple,Limites,"Automatisable
Y / N","Automatisation
#SCRIPT
#INTRUMENTATION
#PROCESS","Automatisation
Level",Automatisation Informations
STRATEGIE,STR-1,,,,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,,,,,,,,,,,ODD#12,,,,,,,,,,,,,,,
STRATEGIE,STR-1.01,A,A,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,"Les réunions sont-elles limitées au strict minimum, en privilégiant le distanciel, lorsque les réunions nécessitent des déplacements physiques ?",Les trajets sont sources d'émissions de Gaz à Effet de Serre (GES) et ont un impact sur l'organisation personnelle des collaborateurs.,N/A,Les outils existent-ils dans l'entreprise pour permettre les réunions en distanciel dans de bonnes conditions ?,Toutes les réunions prévues sont-elles utiles ?,,,,RECO,*,,,#GOV ; #HR ; #FIN,ProjectMngr ; Manager ;  HR ; ITMngr ; Staff,(X / Y ) * 100,Meeting Distance,Meeting total,High,Once,La fiche de cadrage projet défini les réunions et les distances de déplacements de tous les participants,,,,,,
STRATEGIE,STR-1.02,A,A,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,"Le télétravail est-il autorisé, sans limites, aux collaborateurs qui le souhaitent et dont l'activité le permet ?","Outre la limitation des transports quotidiens et leurs impacts environnementaux, les temps perdus lors des trajets peuvent être considérables. Les outils et l'organisation doivent permettre en revanche de lutter contre la rupture de lien social qui peut s'installer avec le télétravail.",N/A,L'entreprise offre-t-elle un cadre au télétravail ?,"L'organisation du projet permet-elle aux collaborateurs qui le souhaitent et dont le métier le permet de télétravailler, selon un rythme choisi par chaque collaborateur ?",,,,RECO,*,,,#METH ; #GOV ; #HR ; #FIN ; #LEG,Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Propositions de télétravail,Postes elligibles,Medium,Once,La stratégie RH précise les conditions et modalités du télétravail,,,,,,
STRATEGIE,STR-1.C01,B,A,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,L'entreprise est-elle ouverte à une démarche NR qui pourrait fédérer les énergies autour d'un projet novateur ?,"Pour être efficace, la démarche NR doit être présente dans la stratégie de l'organisation et associer l'ensemble des processus de décision dans l'objectif de réduire les impacts des services numériques.",N/A,Les managers ont-ils les mains libres pour initier la démarche NR dans les projets ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-1.C02,B,B,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Est-ce que les stratégies RSE et NR sont associées et systématiquement mises en oeuvre dans tous les projets ?,Le traitement NR est une démarche systémique si la stratégie NR est prise en compte dans tous les projets. Comme c'est le plus souvent le cas pour la RSE le gain est beaucoup plus significatif que lorsque les éléments NR sont traités ponctuellement,Conception,Quelle proportion des projets embarquent des exigences NR ?,Quelle est l'objectif de proportion de projets avec des exigences NR ? A quelle échéance ?,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
STRATEGIE,STR-1.03,B,A,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Comment faire du NR plus qu'un objectif de communication ? Est-ce que des résultats concrets sont associés à la démarche NR ? (pas de Greenwashing),"Les énergies et budgets dépensés pour les aspects purement communication (greenwashing) peuvent être conséquents pour aucun résultat tangible. Avec les mêmes investissements il est tout à fait possible d'obtenir des résultats significatifs sur lesquels la communication sera de plus, plus efficace.",Réalisation,Les exigences NR sont-elles prises en compte par toutes les équipes projets ?,,,,,RECO,*,,,#COM ; #VALUE ; #GOV ; #FIN,RSE/NR ;,(X / Y ) * 100,Oui = 100 ; Partiel = 50 ; Non = 0,100,Medium,Once,Stratégie RSE / NR - schéma directeur,,,,,,
STRATEGIE,STR-1.04,A,B,A,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,Le besoin métier est-il exprimé ?,Les incertitudes poussent à extrapoler les besoins souvent au delà des attentes réelles ce qui est nuisible pour les impacts environnementaux,Conception,Les besoins métiers sont-ils évalués de manière impartiale par rapport à des usages ?,,,,,RECO,*,,INCONTOURNABLE,#VOL ; #USE ; #VALUE ; #METH ; #FIN,ProductOwner ;,(X / Y ) * 100,Expression rédigée et validée = 100 ; Expression formalisée = 75 ; Tacite = 30 ; Non = 0,100,High,OnUpdate,"La documentation de collecte et expression des besoins est formalisée, validée et partagée",,,,,,
STRATEGIE,STR-1.05,B,A,B,Définir et valider les besoins et les enjeux du projet afin d'anticiper les impacts,"La cible des utilisateurs (principale et secondaire) est-elle définie, pour préciser le besoin métier ?","Pour répondre justement (ni trop, ni trop peu) aux attentes utilisateurs, il est indispensable de connaître les cibles et leurs comportements., afin de ne pas surcharger les applicatifs, ni les appauvrir au point qu'ils ne répondent plus aux attentes légitimes. Les utilisateurs secondaires ont des besoins souvent plus simples. Sans l'identification de cette catégorie d'utilisateur, il est difficile de dimensionner correctement le service.",Conception,Les profils utilisateurs sont-ils décrits avec les USE CASE correspondant ?,,,,,RECO,*,,,#USE ;  #VALUE,Dev ; Designer ; ProjectMngr ; ProductOwner,,,,High,OnUpdate,Fiche de cadrage projet,,,,,,
